film,year,script type,Rotten Tomatoes prcnt,Metacritic prcnt,Average critics prcnt,Rotten Tomatoes Audience prcnt,Metacritic Audience prcnt,Rotten Tomatoes vs Metacritic prcnt deviance,Average audience prcnt,Audience vs Critics deviance prcnt,Genre,Opening Weekend,Opening weekend (million),Domestic Gross,Domestic gross (million),Foreign Gross (million),Foreign Gross,Worldwide Gross,Worldwide Gross (million),prcnt of Gross earned abroad,Budget (million),prcnt Budget recovered,prcnt Budget recovered opening weekend,Oscar Winners,Oscar Detail,link,None
Brooklyn,2015,adaptation,98,87,92.5,89,81,8,85,7.5,"drama, romance, history","3,946,000",3.94,"35,679,377",35.67,14,"14,000,000","41,000,000",41,34.15%,11,372.73%,35.82%,,,http://www.amazon.com/gp/product/B01A1IZLAO/?tag=titb-20,
Avengers: Age of Ultron,2015,"sequel, adaptation",74,66,70,85,70,15,77.5,-7.5,"action, adventure","191,271,109",191.27,459005868,459.01,943.80,943800000,"1,402,805,868",1403,67.28%,250,561.12%,76.51%,,,http://www.amazon.com/gp/product/B01133UU4S/?tag=titb-20,1
Spectre,2015,sequel,64,60,62,65,67,-2,66,-4,action,"70,403,148",70.40,196489955,196.49,653.90,653900000,"850,389,955",850,76.89%,245,347.10%,28.74%,,,http://www.amazon.com/gp/product/B017HYSN0A/?tag=titb-20,1
The Good Dinosaur,2015,original screenplay,77,66,71.5,71,73,-2,72,-0.5,animation,"39,155,217",39.16,106619227,106.62,109.00,109000000,"215,619,227",216,50.55%,200,107.81%,19.58%,,,http://www.amazon.com/gp/product/B018F03RL0/?tag=titb-20,1
Star Wars: Force Awakens,2015,sequel,94,81,87.5,91,70,21,80.5,7,"sci-fi, fantasy","247,966,675",247.97,895426162,895.43,"1,087.80",1087800000,"1,983,226,162",1983,54.85%,200,991.61%,123.98%,,,http://www.amazon.com/gp/product/B019EG160I/?tag=titb-20,1
Tomorrowland: A World Beyond,2015,original screenplay,50,60,55,52,64,-12,58,-3,sci-fi,"33,028,165",33.03,93436322,93.44,115.20,115200000,"208,636,322",209,55.22%,190,109.81%,17.38%,,,http://www.amazon.com/gp/product/B015D4GZCE/?tag=titb-20,1
Furious 7,2015,sequel,81,67,74,84,68,16,76,-2,action,"147,187,040",147.19,352786830,352.79,"1,162.04",1162040651,"1,514,827,481",1515,76.71%,190,797.28%,77.47%,,,http://www.amazon.com/gp/product/B00VLV8BNA/?tag=titb-20,1
Jupiter Ascending,2015,original screenplay,26,40,33,40,45,-5,42.5,-9.5,sci-fi,"18,372,372",18.37,47387723,47.39,136.50,136500000,"183,887,723",184,74.23%,176,104.48%,10.44%,,,http://www.amazon.com/gp/product/B00T9DLXYQ/?tag=titb-20,1
Inside Out,2015,original screenplay,98,94,96,90,88,2,89,7,animation,"90,440,272",90.44,355597857,355.60,486.90,486900000,"842,497,857",842,57.79%,175,481.43%,51.68%,,,http://www.amazon.com/gp/product/B015D4H780/?tag=titb-20,1
"The Hunger Games: Mockingjay, Part II",2015,sequel,70,65,67.5,70,70,0,70,-2.5,"action, adventure","102,665,981",102.67,265885848,265.89,352.20,352200000,"618,085,848",618,56.98%,160,386.30%,64.17%,,,http://www.amazon.com/gp/product/B0186DG6XC/?tag=titb-20,1
Terminator Genisys,2015,sequel,25,38,31.5,59,63,-4,61,-29.5,action,"27,018,486",27.02,89760956,89.76,350.84,350842581,"440,603,537",441,79.63%,155,284.26%,17.43%,,,http://www.amazon.com/gp/product/B017QHZYUK/?tag=titb-20,1
Pan,2015,adaptation,26,36,31,46,48,-2,47,-16,fantasy,"15,315,435",15.32,34991522,34.99,91.50,91500000,"126,491,522",126,72.34%,150,84.33%,10.21%,,,http://www.amazon.com/gp/product/B018JQTSPE/?tag=titb-20,1
Pan,2015,adaptation,26,36,31,50,50,0,50,-19,fantasy,"15,315,435",15.32,32371350,32.37,81.60,81600000,"113,971,350",114,71.60%,150,75.98%,10.21%,,,http://www.amazon.com/gp/product/B018JQTSPE/?tag=titb-20,1
Jurassic World,2015,sequel,71,59,65,80,69,11,74.5,-9.5,"sci-fi, horror","208,806,270",208.81,652050585,652.05,"1,014.00",1014000000,"1,666,050,585",1666,60.86%,150,1110.70%,139.20%,,,http://www.amazon.com/gp/product/B016VLEH0A/?tag=titb-20,1
Mad Max: Fury Road,2015,sequel,97,89,93,87,87,0,87,6,"Sci-Fi, Action","45,428,128",45.43,153636354,153.64,221.10,221100000,"374,736,354",375,59.00%,150,249.82%,30.29%,,,http://www.amazon.com/gp/product/B014QZ9D84/?tag=titb-20,1
Mission: Impossible - Rogue Nation,2015,sequel,92,75,83.5,89,79,10,84,-0.5,action,"55,520,089",55.52,195042377,195.04,487.10,487100000,"682,142,377",682,71.41%,150,454.76%,37.01%,,,http://www.amazon.com/gp/product/B012PJVQ7Y/?tag=titb-20,1
Home,2015,adaptation,47,55,51,64,74,-10,69,-18,animation,"52,107,731",52.11,177397510,177.40,208.64,208644097,"386,041,607",386,54.05%,135,285.96%,38.60%,,,http://www.amazon.com/gp/product/B00V9U6BP8/?tag=titb-20,1
The Revenant,2015,adaptation,38,76,57,86,81,5,83.5,-26.5,"action, adventure","39,826,840",39.83,138171368,138.17,136.56,136564090,"274,735,458",275,49.71%,135,203.51%,29.50%,,,http://www.amazon.com/gp/product/B01AB7GOD8/?tag=titb-20,1
Ant-Man,2015,adaptation,80,64,72,89,80,9,84.5,-12.5,"action, adventure","57,225,526",57.23,179267303,179.27,334.50,334500000,"513,767,303",514,65.11%,130,395.21%,44.02%,,,http://www.amazon.com/gp/product/B015YJRQ8U/?tag=titb-20,1
Fantastic Four,2015,adaptation,9,27,18,20,26,-6,23,-5,"action, adventure","25,685,737",25.69,56117548,56.12,111.77,111765333,"167,882,881",168,66.57%,120,139.90%,21.40%,,,http://www.amazon.com/gp/product/B013JPCA1Y/?tag=titb-20,1
Insurgent,2015,adaptation,30,42,36,61,54,7,57.5,-21.5,"action, adventure","52,263,680",52.26,130179072,130.18,166.82,166823455,"297,002,527",297,56.17%,110,270.00%,47.51%,,,http://www.amazon.com/gp/product/B00YI7PCPY/?tag=titb-20,1
San Andreas,2015,original screenplay,50,43,46.5,56,55,1,55.5,-9,action,"54,588,173",54.59,155190832,155.19,315.30,315300000,"470,490,832",470,67.02%,110,427.72%,49.63%,,,http://www.amazon.com/gp/product/B016JGX1DQ/?tag=titb-20,1
The Martian,2015,adaptation,93,80,86.5,93,81,12,87,-0.5,sci-fi,"54,308,575",54.31,196841665,196.84,262.02,262015153,"458,856,818",459,57.10%,108,424.87%,50.29%,,,http://www.amazon.com/gp/product/B018HIZ65U/?tag=titb-20,1
Point Break,2015,remake / reboot,9,38,23.5,37,22,15,29.5,-6,action,"9,805,000",9.81,28305532,28.31,87.90,87900000,"116,205,532",116,75.64%,105,110.67%,9.34%,,,http://www.amazon.com/gp/product/B01B3MCU0Q/,1
In the Heart of the Sea,2015,adaptation,43,47,45,57,70,-13,63.5,-18.5,drama,"11,053,366",11.05,24760350,24.76,65.60,65600000,"90,360,350",90,72.60%,100,90.36%,11.05%,,,http://www.amazon.com/gp/product/B0197GGS6M/?tag=titb-20,1
The Peanuts Movie,2015,adaptation,86,67,76.5,81,83,-2,82,-5.5,animation,"44,213,073",44.21,127742629,127.74,44.60,44601164,"172,343,793",172,25.88%,99,174.08%,44.66%,,,http://www.amazon.com/gp/product/B018RK2JV2/?tag=titb-20,1
Cinderella,2015,adaptation,85,67,76,79,76,3,77.5,-1.5,fantasy,"67,877,361",67.88,201151353,201.15,341.20,341200000,"542,351,353",542,62.91%,95,570.90%,71.45%,,,http://www.amazon.com/gp/product/B010VAG5WA/?tag=titb-20,1
Strange Magic,2015,original screenplay,17,25,21,50,51,-1,50.5,-29.5,animation,"5,504,441",5.50,12429583,12.43,1.1,1100000,"13,529,583",14,8.13%,95,14.24%,5.79%,,,http://www.amazon.com/gp/product/B00XVPCK4K/?tag=titb-20,1
Alvin and the Chipmunks: The Road Chip,2015,adaptation,16,33,24.5,54,22,32,38,-13.5,"family, comedy","14,287,159",14.29,83257030,83.26,69.52,69519824,"152,776,854",153,45.50%,90,169.75%,15.87%,,,http://www.amazon.com/gp/product/B019EKV4YC/?tag=titb-20,1
Pixels,2015,adaptation,17,27,22,51,53,-2,52,-30,"action, comedy","24,011,616",24.01,78747585,78.75,164.82,164819305,"243,566,890",244,67.67%,88,276.78%,27.29%,,,http://www.amazon.com/gp/product/B012HPO8TE/?tag=titb-20,1
Hotel Transylvania 2,2015,sequel,51,44,47.5,71,74,-3,72.5,-25,animation,"48,464,322",48.46,156461403,156.46,217.60,217600000,"374,061,403",374,58.17%,80,467.58%,60.58%,,,http://www.amazon.com/gp/product/B015ENAX9U/?tag=titb-20,1
The Man from U.N.C.L.E.,2015,adaptation,68,55,61.5,79,78,1,78.5,-17,action,"13,421,036",13.42,45445109,45.45,55.10,55100000,"100,545,109",101,54.80%,75,134.06%,17.89%,,,http://www.amazon.com/gp/product/B013WF1Z4O/?tag=titb-20,1
The SpongeBob Movie: Sponge Out of Water,2015,adaptation,78,62,70,55,67,-12,61,9,animation,"55,365,012",55.37,162994032,162.99,152.95,152951000,"315,945,032",316,48.41%,74,426.95%,74.82%,,,http://www.amazon.com/gp/product/B00T57EOK6/?tag=titb-20,1
Minions,2015,sequel,54,56,55,51,58,-7,54.5,0.5,animation,"115,718,405",115.72,335240450,335.24,821.23,821229247,"1,156,469,697",1156,71.01%,74,1562.80%,156.38%,,,http://www.amazon.com/gp/product/B011802KGM/?tag=titb-20,1
Blackhat,2015,original screenplay,34,51,42.5,25,53,-28,39,3.5,thriller,"3,901,815",3.90,7889395,7.89,9.86,9863545,"17,752,940",18,55.56%,70,25.36%,5.57%,,,http://www.amazon.com/gp/product/B00VIF5AZ6/?tag=titb-20,1
The Last Witch Hunter,2015,original screenplay,16,35,25.5,50,47,3,48.5,-23,"action, fantasy","10,812,861",10.81,23520165,23.52,58.85,58851554,"82,371,719",82,71.45%,70,117.67%,15.45%,,,http://www.amazon.com/gp/product/B017HPQE1Y/?tag=titb-20,1
Ted 2,2015,sequel,46,48,47,57,64,-7,60.5,-13.5,comedy,"33,507,870",33.51,81284830,81.28,132.45,132449953,"213,734,783",214,61.97%,68,314.32%,49.28%,,,http://www.amazon.com/gp/product/B017K2C8NW/?tag=titb-20,1
