film,year,script_type,Rotten_Tomatoes,Metacritic,Average_critics,Rotten_Tomatoes_Audience,Metacritic_Audience,Rotten_Tomatoes_vs_Metacritic_deviance,Average_audience,Audience_vs_Critics_deviance,Genre,Opening_Weekend,Opening_weekend_million,Domestic_Gross,Domestic_gross_million,Foreign_Gross_million,Foreign_Gross,Worldwide_Gross,Worldwide_Gross_million,Prcnt_of_Gross_earned_abroad,Budget_million,Budget_recovered,Budget_recovered_opening_weekend
Brooklyn,2015,adaptation,98,87,92.5,89,81,8,85,7.5,drama romance history,3946000.00,3.94,35679377.00,35.67,14,14000000,41000000,41,34.15,11,372.73,35.82
Avengers: Age of Ultron,2015,sequel adaptation,74,66,70,85,70,15,77.5,-7.5,action adventure,191271109.00,191.27,459005868.00,459.01,943.8,943800000,1402805868,1403,67.28,250,561.12,76.51
Spectre,2015,sequel,64,60,62,65,67,-2,66,-4,action,70403148.00,70.4,196489955.00,196.49,653.9,653900000,850389955,850,76.89,245,347.1,28.74
The Good Dinosaur,2015,original screenplay,77,66,71.5,71,73,-2,72,-0.5,animation,39155217.00,39.16,106619227.00,106.62,109,109000000,215619227,216,50.55,200,107.81,19.58
Star Wars: Force Awakens,2015,sequel,94,81,87.5,91,70,21,80.5,7,sci-fi fantasy,247966675.00,247.97,895426162.00,895.43,1087.80,1087800000,1983226162,1983,54.85,200,991.61,123.98
Tomorrowland: A World Beyond,2015,original screenplay,50,60,55,52,64,-12,58,-3,sci-fi,33028165.00,33.03,93436322.00,93.44,115.2,115200000,208636322,209,55.22,190,109.81,17.38
Furious 7,2015,sequel,81,67,74,84,68,16,76,-2,action,147187040.00,147.19,352786830.00,352.79,1162.04,1162040651,1514827481,1515,76.71,190,797.28,77.47
Jupiter Ascending,2015,original screenplay,26,40,33,40,45,-5,42.5,-9.5,sci-fi,18372372.00,18.37,47387723.00,47.39,136.5,136500000,183887723,184,74.23,176,104.48,10.44
Inside Out,2015,original screenplay,98,94,96,90,88,2,89,7,animation,90440272.00,90.44,355597857.00,355.6,486.9,486900000,842497857,842,57.79,175,481.43,51.68
The Hunger Games: Mockingjay Part II,2015,sequel,70,65,67.5,70,70,0,70,-2.5,action adventure,102665981.00,102.67,265885848.00,265.89,352.2,352200000,618085848,618,56.98,160,386.3,64.17
Terminator Genisys,2015,sequel,25,38,31.5,59,63,-4,61,-29.5,action,27018486.00,27.02,89760956.00,89.76,350.84,350842581,440603537,441,79.63,155,284.26,17.43
Pan,2015,adaptation,26,36,31,46,48,-2,47,-16,fantasy,15315435.00,15.32,34991522.00,34.99,91.5,91500000,126491522,126,72.34,150,84.33,10.21
Pan,2015,adaptation,26,36,31,50,50,0,50,-19,fantasy,15315435.00,15.32,32371350.00,32.37,81.6,81600000,113971350,114,71.6,150,75.98,10.21
Jurassic World,2015,sequel,71,59,65,80,69,11,74.5,-9.5,sci-fi horror,208806270.00,208.81,652050585.00,652.05,1014.00,1014000000,1666050585,1666,60.86,150,1110.7,139.2
Mad Max: Fury Road,2015,sequel,97,89,93,87,87,0,87,6,Sci-Fi Action,45428128.00,45.43,153636354.00,153.64,221.1,221100000,374736354,375,59,150,249.82,30.29
Mission: Impossible - Rogue Nation,2015,sequel,92,75,83.5,89,79,10,84,-0.5,action,55520089.00,55.52,195042377.00,195.04,487.1,487100000,682142377,682,71.41,150,454.76,37.01
Home,2015,adaptation,47,55,51,64,74,-10,69,-18,animation,52107731.00,52.11,177397510.00,177.4,208.64,208644097,386041607,386,54.05,135,285.96,38.6
The Revenant,2015,adaptation,38,76,57,86,81,5,83.5,-26.5,action adventure,39826840.00,39.83,138171368.00,138.17,136.56,136564090,274735458,275,49.71,135,203.51,29.5
Ant-Man,2015,adaptation,80,64,72,89,80,9,84.5,-12.5,action adventure,57225526.00,57.23,179267303.00,179.27,334.5,334500000,513767303,514,65.11,130,395.21,44.02
Fantastic Four,2015,adaptation,9,27,18,20,26,-6,23,-5,action adventure,25685737.00,25.69,56117548.00,56.12,111.77,111765333,167882881,168,66.57,120,139.9,21.4
Insurgent,2015,adaptation,30,42,36,61,54,7,57.5,-21.5,action adventure,52263680.00,52.26,130179072.00,130.18,166.82,166823455,297002527,297,56.17,110,270,47.51
San Andreas,2015,original screenplay,50,43,46.5,56,55,1,55.5,-9,action,54588173.00,54.59,155190832.00,155.19,315.3,315300000,470490832,470,67.02,110,427.72,49.63
The Martian,2015,adaptation,93,80,86.5,93,81,12,87,-0.5,sci-fi,54308575.00,54.31,196841665.00,196.84,262.02,262015153,458856818,459,57.1,108,424.87,50.29
Point Break,2015,remake / reboot,9,38,23.5,37,22,15,29.5,-6,action,9805000.00,9.81,28305532.00,28.31,87.9,87900000,116205532,116,75.64,105,110.67,9.34
In the Heart of the Sea,2015,adaptation,43,47,45,57,70,-13,63.5,-18.5,drama,11053366.00,11.05,24760350.00,24.76,65.6,65600000,90360350,90,72.6,100,90.36,11.05
The Peanuts Movie,2015,adaptation,86,67,76.5,81,83,-2,82,-5.5,animation,44213073.00,44.21,127742629.00,127.74,44.6,44601164,172343793,172,25.88,99,174.08,44.66
Cinderella,2015,adaptation,85,67,76,79,76,3,77.5,-1.5,fantasy,67877361.00,67.88,201151353.00,201.15,341.2,341200000,542351353,542,62.91,95,570.9,71.45
Strange Magic,2015,original screenplay,17,25,21,50,51,-1,50.5,-29.5,animation,5504441.00,5.5,12429583.00,12.43,1.1,1100000,13529583,14,8.13,95,14.24,5.79
Alvin and the Chipmunks: The Road Chip,2015,adaptation,16,33,24.5,54,22,32,38,-13.5,family comedy,14287159.00,14.29,83257030.00,83.26,69.52,69519824,152776854,153,45.5,90,169.75,15.87
Pixels,2015,adaptation,17,27,22,51,53,-2,52,-30,action comedy,24011616.00,24.01,78747585.00,78.75,164.82,164819305,243566890,244,67.67,88,276.78,27.29
Hotel Transylvania 2,2015,sequel,51,44,47.5,71,74,-3,72.5,-25,animation,48464322.00,48.46,156461403.00,156.46,217.6,217600000,374061403,374,58.17,80,467.58,60.58
The Man from U.N.C.L.E.,2015,adaptation,68,55,61.5,79,78,1,78.5,-17,action,13421036.00,13.42,45445109.00,45.45,55.1,55100000,100545109,101,54.8,75,134.06,17.89
The SpongeBob Movie: Sponge Out of Water,2015,adaptation,78,62,70,55,67,-12,61,9,animation,55365012.00,55.37,162994032.00,162.99,152.95,152951000,315945032,316,48.41,74,426.95,74.82
Minions,2015,sequel,54,56,55,51,58,-7,54.5,0.5,animation,115718405.00,115.72,335240450.00,335.24,821.23,821229247,1156469697,1156,71.01,74,1562.8,156.38
Blackhat,2015,original screenplay,34,51,42.5,25,53,-28,39,3.5,thriller,3901815.00,3.9,7889395.00,7.89,9.86,9863545,17752940,18,55.56,70,25.36,5.57
The Last Witch Hunter,2015,original screenplay,16,35,25.5,50,47,3,48.5,-23,action fantasy,10812861.00,10.81,23520165.00,23.52,58.85,58851554,82371719,82,71.45,70,117.67,15.45
Ted 2,2015,sequel,46,48,47,57,64,-7,60.5,-13.5,comedy,33507870.00,33.51,81284830.00,81.28,132.45,132449953,213734783,214,61.97,68,314.32,49.28
Spy,2015,original screenplay,93,75,84,81,58,23,69.5,14.5,comedy,29085719.00,29.09,110825712.00,110.83,124.84,124840507,235666219,236,52.97,65,362.56,44.75
Maze Runner: The Scorch Trials,2015,sequel,49,43,46,63,65,-2,64,-18,action adventure,30316510.00,30.32,79809643.00,79.81,218.64,218644323,298453966,298,73.26,61,489.27,49.7
Mortdecai,2015,adaptation,12,27,19.5,30,32,-2,31,-11.5,action comedy,4200586.00,4.2,7696134.00,7.7,39.58,39579561,47275695,47,83.72,60,78.79,7
Joy,2015,based on a true story,57,55,56,58,67,-9,62.5,-6.5,comedy drama,17015168.00,17.02,55343624.00,55.34,39.77,39769949,95113573,95,41.81,60,158.52,28.36
Goosebumps,2015,adaptation,77,60,68.5,66,70,-4,68,0.5,horror comedy,23618556.00,23.62,57436461.00,57.44,18.6,18600000,76036461,76,24.46,58,131.1,40.72
Everest,2015,based on a true story,72,64,68,73,72,1,72.5,-4.5,thriller,13242895.00,13.24,42390910.00,42.39,134.5,134495740,176886650,177,76.03,55,321.61,24.08
Crimson Peak,2015,original screenplay,69,66,67.5,62,73,-11,67.5,0,horror,13143310.00,13.14,27961325.00,27.96,34.38,34377759,62339084,62,55.15,55,113.34,23.9
